TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
THRA11;138,50;0,130000;0,00;9,54;14,52;;140,47;90,73;-0,14;14.050.683,35;2.084,00;Passiva;1.472.728,00
LPLP11;0,00;7,790589;0,00;568,94;;;0,22;;;127.061.568,70;4,00;Ativa;223.330,00
BLUR11;100,71;1,030000;11,25;100,87;1,00;815,22;6,03;;;9.077.966,57;89,00;Ativa;90.000,00
CXAG11;75,95;0,750000;12,24;114,69;0,66;94.719,07;0,08;;;239.776.557,58;11.491,00;Ativa;2.090.621,00
PLRI11;22,83;0,153959;9,48;32,26;0,71;1.971,28;1,06;-9,14;-18,39;30.789.060,58;796,00;Ativa;954.304,00
CJFI11;0,00;;0,00;2,59;;;1,05;;;136.395.487,62;1,00;Ativa;52.601.278,00
CFII11;0,00;;0,00;974,65;;;25,75;;;28.831.984,87;56,00;Ativa;29.582,00
BREV11;120,00;0,410000;6,66;121,30;0,99;2.022,00;4,15;19,76;;117.322.323,15;188,00;Ativa;967.201,00
MCHY11;110,00;1,400000;17,00;100,02;1,10;21.001,41;10,42;;;359.057.917,00;581,00;--;3.589.771,00
CYCR11;8,00;0,100000;16,40;9,55;0,84;409.183,64;17,06;;;155.882.056,48;6.489,00;Ativa;16.315.840,00
GCRI11;91,55;1,100000;16,61;93,73;0,98;202.899,11;0,96;;;111.618.540,20;3.810,00;Ativa;1.190.790,00
VJFD11;0,00;1,015000;0,00;136,10;;;1,24;;;663.648.757,82;97,00;Ativa;4.876.129,00
SPVJ11;0,00;0,670000;0,00;116,26;;;2,33;;;733.831.751,00;31,00;Ativa;6.312.090,00
RBCB11;19,00;0,300000;0,00;0,00;;;;-15,04;;0,00;462,00;Ativa;53.100,00
SFRO11;0,00;;0,00;5,93;;;102,53;;;5.191.438,53;20,00;Passiva;875.758,00
